X,Y,ID_KM,KM,FECHA_ACT,CALIREPR,icon_url
-101.550727758959,20.3660430026466,34801,4,2021-11-12 11:54:24,Aproximada,./0.png
-101.533709079004,20.36702744037,34802,6,2021-11-12 11:54:24,Aproximada,./0.png
-101.521526525024,20.3669611416043,34803,7,2021-11-12 11:54:24,Aproximada,./0.png
-101.584441696445,20.367328313943,34804,10,2021-11-12 11:54:24,Aproximada,./0.png
-101.589689630793,20.349822283341,34805,12,2021-11-12 11:54:24,Aproximada,./0.png
-101.592285604906,20.3410047339718,34806,13,2021-11-12 11:54:24,Aproximada,./0.png
-101.594927015294,20.3321275147878,34807,14,2021-11-12 11:54:24,Aproximada,./0.png
-101.602222372776,20.3149244890118,34808,16,2021-11-12 11:54:24,Aproximada,./0.png
-101.526560679993,20.3165403528947,35249,33,2021-11-12 11:54:24,Aproximada,./0.png
-101.066485721373,20.1221302909952,35796,12,2021-11-12 11:54:24,Aproximada,./0.png
-101.066548246325,20.1133352972069,35797,13,2021-11-12 11:54:24,Aproximada,./0.png
-101.232389597525,20.0521567934671,35798,11,2021-11-12 11:54:24,Aproximada,./0.png
-100.383230888534,20.2834639824703,35799,9,2021-11-12 11:54:24,Aproximada,./0.png
-100.381674666251,20.2747894239161,35800,8,2021-11-12 11:54:24,Aproximada,./0.png
-100.382123342988,20.2659885770151,35801,7,2021-11-12 11:54:24,Aproximada,./0.png
-100.381266873908,20.2578544829738,35802,6,2021-11-12 11:54:24,Aproximada,./0.png
-100.379904522085,20.2490172529789,35803,5,2021-11-12 11:54:24,Aproximada,./0.png
-100.376207670131,20.2415374023341,35804,4,2021-11-12 11:54:24,Aproximada,./0.png
-100.369142871149,20.2254114739565,35805,2,2021-11-12 11:54:24,Aproximada,./0.png
-100.367186975727,20.2162076885771,35806,1,2021-11-12 11:54:24,Aproximada,./0.png
-100.356030133654,20.1891399022392,35807,57,2021-11-12 11:54:24,Aproximada,./0.png
-100.363176089712,20.1923517105562,35808,58,2021-11-12 11:54:24,Aproximada,./0.png
-100.379122273085,20.1954674307664,35809,60,2021-11-12 11:54:24,Aproximada,./0.png
-100.386587594987,20.2003183507453,35810,61,2021-11-12 11:54:24,Aproximada,./0.png
-100.946098905914,19.9787297412832,35811,23,2021-11-12 11:54:24,Aproximada,./0.png
-100.9642074804,19.9839642801725,35812,25,2021-11-12 11:54:24,Aproximada,./0.png
-100.771376966701,19.9351709539587,35813,13,2021-11-12 11:54:24,Aproximada,./0.png
-100.771569433841,19.9180406671477,35814,15,2021-11-12 11:54:24,Aproximada,./0.png
-100.777314182183,19.9113872879896,35932,16,2021-11-12 11:54:24,Aproximada,./0.png
-101.154035889036,20.0189188720038,36535,40,2021-11-12 11:54:24,Aproximada,./0.png
-101.151872096782,20.0392529189766,36536,42,2021-11-12 11:54:24,Aproximada,./0.png
-101.006522803757,20.0010519657703,36537,19,2021-11-12 11:54:24,Aproximada,./0.png
-101.00453652571,20.01880572621,36538,2,2021-11-12 11:54:24,Aproximada,./0.png
-100.996471521068,20.022523008973,36539,3,2021-11-12 11:54:24,Aproximada,./0.png
-100.988573378065,20.0260120899001,36540,4,2021-11-12 11:54:24,Aproximada,./0.png
-101.030262625024,20.014548055627,36541,16,2021-11-12 11:54:24,Aproximada,./0.png
-101.037159354089,20.0207479886811,36542,15,2021-11-12 11:54:24,Aproximada,./0.png
-101.043363816181,20.0260863858412,36543,14,2021-11-12 11:54:24,Aproximada,./0.png
-101.051342103104,20.0329850654188,36544,13,2021-11-12 11:54:24,Aproximada,./0.png
-101.057996243332,20.0389154344699,36545,12,2021-11-12 11:54:24,Aproximada,./0.png
-101.066339291417,20.0442872793362,36546,11,2021-11-12 11:54:24,Aproximada,./0.png
-101.098783697721,20.0592445729475,36547,7,2021-11-12 11:54:24,Aproximada,./0.png
-101.107115436036,20.0639913649359,36548,6,2021-11-12 11:54:24,Aproximada,./0.png
-101.135907382659,20.0544732349286,36549,44,2021-11-12 11:54:24,Aproximada,./0.png
-101.135543429151,20.0457931699488,36550,43,2021-11-12 11:54:24,Aproximada,./0.png
-101.136076742039,20.0372083295439,36551,42,2021-11-12 11:54:24,Aproximada,./0.png
-101.137089273509,20.0284171826562,36552,41,2021-11-12 11:54:24,Aproximada,./0.png
